"country","variable","value_type","downstream_use","values_compared","changed_values","anecdotal_changes","substantive_changes","changed_share_pct","substantive_share_pct","median_new_old","median_pct_diff","p10_pct_diff","p90_pct_diff","max_abs_pct_diff"
"URY","GG_r_D41_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","GG_r_D42_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","GG_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","GG_r_D44_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","NFC_r_D4_cei","primitive","uprofits",0,0,0,0,,,,,,,
"URY","NFC_r_D41_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","NFC_r_D42_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","NFC_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","NFC_r_D44_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","ratio_d43_d4","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"URY","ratio_d43d44","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"URY","ratio_d44_b5g","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"URY","ratio_d44_d4","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"URY","ratio_d75_b5g","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"URY","ratio_d75_d7","derived_ratio","cei_ratio_figures",0,0,0,0,,,,,,,
"URY","ROW_r_D4_cei","primitive","uprofits",0,0,0,0,,,,,,,
"URY","ROW_r_D41_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","ROW_r_D42_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","ROW_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","ROW_r_D44_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","TOT_r_D4_cei","primitive","uprofits",0,0,0,0,,,,,,,
"URY","TOT_r_D41_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","TOT_r_D42_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","TOT_r_D43_cei","primitive","current_extractor",0,0,0,0,,,,,,,
"URY","TOT_r_D44_cei","primitive","current_extractor",0,0,0,0,,,,,,,
